Title;Medium;Date;Collection;Dimensions;Image;Description;artists_id;id
Cylinder;Charcoal on paper;1894;Whitney Museum of American Art;"37.9 cm × 27.3 cm
(14 15/16 in. × 10 3/4 in.)";https://en.wikipedia.org/wiki/File:Edward_Hopper_Cylinder.jpg;;2726;1
Sailboats;"Watercolor, graphite pencil
on paper";1895;Whitney Museum of American Art;"10.8 cm × 12.5 cm
(4 1/4 in. × 4 15/16 in.)";https://whitneymedia.org/assets/artwork/31342/49131.jpeg;;2726;2
At Valley Forge;graphite pencil on paper;1895;Whitney Museum of American Art;"20 cm × 15.6 cm
(7 7/8 in. × 6 1/8 in.)";https://whitneymedia.org/assets/artwork/22271/50119.jpeg;;2726;3
The Lion at Play;Watercolor on paper;1896;Whitney Museum of American Art;"10.8 cm × 16.8 cm
(4 1/4 in. × 6 5/8 in.)";https://whitneymedia.org/assets/artwork/31325/50204.jpeg;;2726;4
Painter and Model;Oil on canvas;1902–1904;Whitney Museum of American Art;"26 cm × 20.6 cm
(10 1/4 in. × 8 1/8 in.)";https://whitneymedia.org/assets/artwork/5935/131202.jpeg;;2726;5
Bridge in Paris;Oil on canvas;1906;Whitney Museum of American Art;"23.5 cm × 33 cm
(9 1/4 in. × 13 in.)";https://whitneymedia.org/assets/artwork/6058/131955.jpeg;;2726;6
Le Pont des Arts;Oil on canvas;1907;Whitney Museum of American Art;"60.2 cm × 73.2 cm
(23 11/16 in. × 28 13/16 in.)";https://whitneymedia.org/assets/artwork/5894/132246.jpeg;;2726;7
Après-midi de juin;Oil on canvas;1907;Whitney Museum of American Art;"60.3 cm × 73.3 cm
(23 3/4 in. × 28 7/8 in.)";https://whitneymedia.org/assets/artwork/6039/132238.jpeg;;2726;8
"Le Quai des Grands Augustins
with Tree";Oil on canvas;1907;Whitney Museum of American Art;"60.5 cm × 73.7 cm
(23 13/16 in. × 29 in.)";https://whitneymedia.org/assets/artwork/6044/132257.jpeg;;2726;9
Les lavoirs à Pont Royal;Oil on canvas;1907;Whitney Museum of American Art;"59.7 cm × 73 cm
(23 1/2 in. × 28 3/4 in.)";https://whitneymedia.org/assets/artwork/5859/132267.jpeg;;2726;10
Louvre and Boat Landing;Oil on canvas;1907;Whitney Museum of American Art;"60 cm × 73 cm
(23 5/8 in. × 28 3/4 in.)";https://whitneymedia.org/assets/artwork/6094/132269.jpeg;;2726;11
The El Station;Oil on canvas;1908;Whitney Museum of American Art;"51.4 cm × 74.5 cm
(20 1/4 in. × 29 5/16 in.)";https://whitneymedia.org/assets/artwork/6071/132247.jpeg;;2726;12
Railroad Train;Oil on canvas;1908;Addison Gallery of American Art;"61.6 cm × 73.66 cm
(24 1/4 in. × 29 in.)";http://accessaddison.andover.edu/media/images/Object_Images/PermanentCollection_Images/A_Painting/1940s/1944.10.jpg;;2726;13
Summer Interior;Oil on canvas;1909;Whitney Museum of American Art;"61.6 cm × 74.1 cm
(24 1/4 in. × 29 3/16 in.)";https://whitneymedia.org/assets/artwork/5898/137523.jpeg;;2726;14
The Louvre in a Thunderstorm;Oil on canvas;1909;Whitney Museum of American Art;"59.8 cm × 73.2 cm
(23 9/16 in. × 28 13/16 in.)";https://whitneymedia.org/assets/artwork/5830/142507.jpeg;;2726;15
Le Pont Royal;Oil on canvas;1909;Whitney Museum of American Art;"61 cm × 73.8 cm
(24 in. × 29 1/16 in.)";https://whitneymedia.org/assets/artwork/5896/134734.jpeg;;2726;16
Le Quai des Grands Augustins;Oil on canvas;1909;Whitney Museum of American Art;"60.2 cm × 73 cm
(23 11/16 in × 28 3/4 in.)";https://whitneymedia.org/assets/artwork/5897/132239.jpeg;;2726;17
Le Pavillon de Flore;Oil on canvas;1909;Whitney Museum of American Art;"60 cm × 73.2 cm
(23 5/8 in × 28 13/16 in.)";https://whitneymedia.org/assets/artwork/6126/132240.jpeg;;2726;18
Le Bistro or The Wine Shop;Oil on canvas;1909;Whitney Museum of American Art;"61 cm × 73.3 cm
(24 in. × 28 7/8 in.)";https://whitneymedia.org/assets/artwork/6073/138358.jpeg;;2726;19
Sailing;Oil on canvas;1911;Carnegie Museum of Art;"60.96 cm × 73.66 cm
(24 in. × 29 in.)";https://cmoa-collection-images.s3.amazonaws.com/thing/191446/sizes/1016431-840.jpg;;2726;20
American Village;Oil on canvas;1912;Whitney Museum of American Art;"66 cm × 96.8 cm
(26 in. × 38 1/8 in.)";https://whitneymedia.org/assets/artwork/6072/135893.jpeg;;2726;21
